"royal-line__monarch__slider__header__title","carousel__slide__content__container__title","carousel__slide__content__container__text__content","carousel__slide__image__copyright","royal-line__monarch__item__content__image__src src","royal-line__monarch__item__content__period"
"Christian 6.","Christian 6. (1730-1746)","Christian 6. (30.11.1699-6.8.1746), konge af Danmark og Norge 1730-46. Kongen var den første i den oldenborgske kongerække, i hvis regeringstid riget ikke var i krig. Til gengæld var tiden præget af en svær økonomisk krise, der dog ikke forhindrede opførelsen af det nye, pragtfulde residensslot, det første Christiansborg, til erstatning for det forfaldne Københavns Slot. Den stærkt religiøse konge indførte 1735 streng kirketugt, der forbød enhver forlystelse på helligdage, ligesom han 1736 indførte konfirmationen med forudgående obligatorisk skolegang.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/04eh2iba/christian-6.jpg","1730-1746"
"Frederik 4.","Frederik 4. (1699-1730)","Frederik 4. (11.10.1671-12.10.1730), konge af Danmark og Norge 1699-1730. I Frederik 4.s regeringstid udspillede sig det sidste store krigeriske opgør med Sverige, Den store nordiske Krig 1709-20. Det uafgjorte udfald førte til endelig opgivelse af håbet om generobring af Skånelandene; men til gengæld betød krigen en styrkelse af Danmarks sikkerhedspolitiske stilling, ikke mindst i hertugdømmerne. Frederik 4. tog Kongelovens ideal om den personlige enevælde alvorlig, hvilket afspejlede sig i hans nidkære regeringsførelse.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/qdimnbwd/frederik-4.jpg","1699-1730"
"Christian 5.","Christian 5. (1670-1699)","Christian 5. (15.4.1646-25.8.1699), konge af Danmark og Norge 1670-99. Gennem en lang række grundlæggende reformer i finansvæsen, forvaltningssystem og retsvæsen i første halvdel af regeringstiden konsoliderede han det enevældige styre efter Statsomvæltningen 1660, hvorved enevælden indførtes. Christian 5. havde held med at forene sin enevældige magt med en fremtræden, der samtidig gjorde ham afholdt som konge.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/iymfbfj1/christian-5.jpg","1670-1699"
"Frederik 3.","Frederik 3. (1648-1670)","Frederik 3. (18.3.1609-9.2.1670), konge af Danmark og Norge 1648-70. Som næstældste søn af Christian 4. kom han først efter den udvalgte Prins Christians død i 1647 i betragtning som tronfølger. Ved kongevalget i 1648 måtte han underskrive en overordentlig streng håndfæstning; men med stor taktisk dygtighed lykkedes det ham alligevel i 1660 at få afskaffet det gamle valgkongedømme til fordel for et arveligt, enevældigt styre, der bestod indtil 1848.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/vddpywsy/frederik-3.jpg","1648-1670"
"Christian 4.","Christian 4. (1588/1596-1648)","Christian 4. (12.4.1577-28.2.1648), konge af Danmark og Norge 1588/1596-1648 og dermed den næst længst regerende af samtlige danske monarker. Ved Frederik 2.s død i 1588 indsattes en formynderregering for den mindreårige Christian, der først i 1596 kronedes som konge. Kongens regeringstid blev stærkt præget af de europæiske konflikter, der kulminerede i Trediveårskrigen i 1618-48. Danmarks aktive deltagelse i denne konflikt og kongens nederlag ved Lutter am Barenberg 1626 til den katolske modstander blev begyndelsen til den nedgang og krisestemning, der kom til at sætte sit tydelige præg på resten af hans regeringstid. Christian 4. grundlagde en række byer, Christiania (Oslo), Christianopel, Christianstad, Christianshavn, Christiansand og Glückstadt og er kendt som bygherre for nogle af Københavns mest ikoniske byggerier, bl.a. Børsen og Rundetårn.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/huzg1ca3/christian-4.jpg","1588/1596-1648"
"Frederik 2.","Frederik 2. (1559-1588)","Frederik 2. (1.7.1534-4.4.1588), konge af Danmark og Norge 1559-88. Hans regeringstid blev stærkt præget af det voksende modsætningsforhold til Vasatidens Sverige og den skærpede religionskamp i Europa. Konflikten med Sverige kulminerede i Den nordiske Syvårskrig 1563-70, der dog ikke bragte nogen egentlig afklaring. Krigen tvang kongen til store forhøjelser af Øresundstolden, der opkrævedes ved hans nye, stærke fæstning, Kronborg, ved indsejlingen til Øresund.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/w2qo3asc/frederik-2.jpg","1559-1588"
"Christian 3.","Christian 3. (1536-1559)","Christian 3. (12.8.1503-1.1.1559), konge af Danmark og Norge 1536-59, men som ældste søn af Frederik 1. hyldet i Jylland allerede 1534. Den lutheransk sindede hertug Christian måtte under Grevens Fejde erobre sit rige med sværd i hånd mod de kræfter, der ønskede Christian 2. genindsat. Efter den endelige sejr 1536 gennemførte han med stor beslutsomhed Reformationen i den danske kirke, der i løbet af hans regeringstid omstøbtes til en evangelisk-luthersk kirke under kongens ledelse.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/kmmovwsc/christian-3.jpg","1536-1559"
"Interregnum","Interregnum (1533-1536)","Interregnum er betegnelsen for en periode, hvor der ikke er en regent.","","https://www.kongehuset.dk/media/ztep45mg/interregnum.png","1533-1536"
"Frederik 1.","Frederik 1. (1523-1533)","Frederik 1. (7.10.1471-10.4.1533), konge af Danmark og Norge 1523-33. Som broder til Kong Hans var Frederik hertug af Slesvig og Holsten, men valgtes 1523 til konge i stedet for den fordrevne Christian 2. I modsætning til nevøen tog Frederik 1. udstrakt hensyn til højadelens interesser. Hans regeringstid blev stærkt præget af reformationsoprøret. Hans død i 1533 udløste Grevens Fejde, der sluttede med Reformationens indførelse i Danmark i 1536.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/abfnspnl/frederik-1.jpg","1523-1533"
"Christian 2.","Christian 2. (1513-1523)","Christian 2. (1.7.1481-25.1.1559), konge af Danmark og Norge 1513-23. Efter en sejrrig krig lykkedes det ham 1520 at tvinge Sverige tilbage i Unionen; men det efterfølgende ”Stockholmske Blodbad” udløste en svensk opstand, der fra 1523 medførte  Kalmarunionens endelige opløsning. Samme år gjorde også den danske højadel oprør, og kongen måtte flygte til udlandet. Under et forsøg på at tilbageerobre riget blev han 1531 pågrebet og indsat som fange på Sønderborg Slot. I 1549 overførtes han til Kalundborg, hvor han levede i mild internering indtil sin død.","","https://www.kongehuset.dk/media/f0toxsz5/christian-2.jpg","1513-1523"
"Hans","Hans (1482-1513)","Hans (2.2.1455-20.2.1513), konge af Danmark og Norge 1482-1513, tillige af Sverige 1497-1513. Efter et sejrrigt felttog i Sverige lykkedes det ham i 1497 at genoprette Kalmarunionen, der i faderens tid var gået delvis i opløsning; men et katastrofalt nederlag 1500 i Ditmarsken og voksende stridigheder i hertugdømmerne svækkede hans greb om unionsmagten. Kongens sidste regeringsår var en forgæves kamp for at genvinde den.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/1hhpywpb/hans.jpg","1482-1513"
"Christian 1.","Christian 1. (1448-1481)","Christian 1. (1426-21.5.1481), konge af Danmark 1448-81, af Norge 1449-81 og af Sverige 1457-64, fra 1460 tillige hertug af Slesvig og siden af den tyske kejser også forlenet med hertugdømmet Holsten samt landskaberne Stormarn og Ditmarsken. Som den første af den oldenborgske slægt valgtes han til dansk konge efter at have giftet sig med den barnløse Christoffer af Bayerns 18-årige enke, Dorothea af Brandenburg, der viste sig at være en væsentlig medspiller i opbygningen af den oldenborgske kongemagt, f.eks. i forbindelse med oprettelsen af Københavns Universitet i 1479.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/ox1jgrzg/christian-1.jpg","1448-1481"
"Christoffer 3. af Bayern","Christoffer 3. af Bayern (1440-1448)","Christoffer 3. af Bayern (1416-48), unionskonge 1440-48, nevø af Erik 7. af Pommern. Som konge viste han sig som en dygtig politiker, der formåede at holde de tre unionslandes rigsråd i skak og styrke kongemagten efter svækkelsen i forbindelse med Erik 7.s afsættelse i 1439. Han døde barnløs på Helsingborg Slot og blev gravsat i Roskilde Domkirke. Ved hans død gik kongemagten over til den oldenborgske gren af kongeslægten.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1440-1448"
"Erik 7. af Pommern","Erik 7. af Pommern (1396-1439)","Erik 7. af Pommern (ca. 1382-1459), konge af Norge 1389-1439, af Danmark 1396-1439 og unionskonge 1397-1439, fostersøn og fjern slægtning af Margrete 1. Indtil Dronning Margretes død i 1412 lå styret af Kalmarunionen i hendes hænder. Derefter videreførte Erik 7. hendes kamp for at knytte Slesvig fast til riget. Som en nyskabelse indførte han i 1429 Øresundstolden, der i ændret skikkelse bestod indtil 1857. Som følge af interne konflikter blev han i 1439 afsat som unionskonge og tog derefter i en periode ophold på Gotland, hvorefter han indtil sin død levede i Rügenwalde i Pommern.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1396-1439"
"Margrete 1.","Margrete 1. (1387-1396)","Margrete 1. (1353-28.10.1412), dansk-norsk-svensk regent, dronning af Norge, yngste datter af Valdemar 4. Atterdag. Ved faderens død i 1375 blev hun sammen med sin ægtefælle, Kong Håkon 6. af Norge indsat som formynder for sin mindreårige søn, Oluf 2., der valgtes til dansk konge. Ved Håkon 6.s død i 1380 blev hun tillige formynder for sønnen i Norge. Ved dennes død i 1387 blev hun i Danmark kåret til ”fuldmægtig frue og husbond og det ganske rige Danmarks formynder”. Kort efter fik hun en tilsvarende titel i Norge og i 1388 også i Sverige, der var plaget af dynastisk strid. I 1396 fik hun indsat sin unge pommerske slægtning hertug Bugislav som konge af Danmark under navnet Erik 7., og med dette som udgangspunkt blev Kalmarunionen, hvor de tre nordiske riger forenedes under én konge, oprettet i 1397. Margrete 1. var indtil sin død den faktiske regent. Hun blev stedt til hvile i Sorø Klosterkirke, men blev kort tid derefter overført til Roskilde Domkirke.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1387-1396"
"Oluf 2.","Oluf 2. (1375-1387)","Oluf 2. (1370-87), konge af Danmark 1375-87 og tillige af Norge 1380-87, søn af Kong Håkon 6. af Norge og Valdemar 4. Atterdags datter Margrete (1.). Ved Valdemar 4. Atterdags død blev den da kun 5-årige Oluf valgt til dansk konge med sine forældre som formyndere. Håkon 6. døde i 1380, hvorefter Oluf også blev konge af Norge med moderen som formynder. Oluf døde imidlertid allerede i 1387 uden at efterlade sig arvinger. Han blev gravsat i Sorø Klosterkirke.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1375-1387"
"Valdemar 4. Atterdag","Valdemar 4. Atterdag (1340-1375)","Valdemar 4. Atterdag (ca. 1320-75), konge af Danmark 1340-75, yngste søn af Christoffer 2. Valdemar voksede op ved den tyske kejsers hof, og med støtte derfra blev han accepteret som dansk konge straks efter Niels Ebbesens drab på den holstenske storkreditor, grev Gerhard i 1340 ved Randers. Systematisk og med stor handlekraft samlede han sit splittede, pantsatte rige og genopbyggede kongemagten. En særlig triumf var erobringen af Gotland i 1361. Ved sin død på sit elskede Gurre efterlod han et stærkt, genrejst rige.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1340-1375"
"Interregnum","Interregnum (1332-1340)","Interregnum er betegnelsen for en periode, hvor der ikke er en regent.","","https://www.kongehuset.dk/media/ztep45mg/interregnum.png","1332-1340"
"Christoffer 2.","Christoffer 2. (1329-1332)","Christoffer 2. (1276-1332), konge af Danmark 1320-1326 og 1329-32. Som Erik 6. Menveds yngre broder efterfulgte han denne på tronen og måtte underskrive en valghåndfæstning, der satte strenge betingelser for udøvelse af kongemagten. For at indfri broderens store krigsgæld måtte han pantsætte det meste af riget til tyske kreditorer, der i årene 1326-29 indsatte den unge Valdemar (3.), hertug af Sønderjylland, som marionetkonge. Efter kongens tilbagevenden i 1329 blev han selv nærmest kreditorernes marionet. Han blev ved sin død gravsat i Sorø Kirke, og de følgende otte år var tronen ledig.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1329-1332"
"Valdemar 3.","Valdemar 3. (1326-1329)","Valdemar 3. (ca. 1315-1364), konge af Danmark 1326-1329. Den unge hertug Valdemar blev i 1326 indsat som konge på foranledning af sin formynder, den holstenske grev Gerhard 3. Stridigheder mellem de holstenske grever og jyske stormænd førte efter få år til, at Christoffer 2. igen blev konge, og Valdemar 3. fortsatte derefter som hertug af Sønderjylland.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1326-1329"
"Christoffer 2.","Christoffer 2. (1319-1326)","Christoffer 2. (1276-1332), konge af Danmark 1320-1326 og 1329-32. Som Erik 6. Menveds yngre broder efterfulgte han denne på tronen og måtte underskrive en valghåndfæstning, der satte strenge betingelser for udøvelse af kongemagten. For at indfri broderens store krigsgæld måtte han pantsætte det meste af riget til tyske kreditorer, der i årene 1326-29 indsatte den unge Valdemar (3.), hertug af Sønderjylland, som marionetkonge. Efter kongens tilbagevenden i 1329 blev han selv nærmest kreditorernes marionet. Han blev ved sin død gravsat i Sorø Kirke, og de følgende otte år var tronen ledig.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1319-1326"
"Erik 6. Menved","Erik 6. Menved (1286-1319)","Erik 6. Menved (1274-1319), konge af Danmark 1286-1319. Som søn af Erik 5. Klipping var han allerede i 1276 blevet hyldet som faderens efterfølger. Ved dennes død var han endnu umyndig og tiltrådte først 1293 regeringen. Denne kom til at bære præg af den fortsatte strid mellem stat og kirke, kulminerende med fængslingen af ærkebiskop Jens Grand i 1294. Kongen søgte med et vist held at genoptage Valdemar 2. Sejrs ekspansionspolitik i Østersøen. Han døde barnløs i 1319 og blev gravlagt i St. Bendts Kirke i Ringsted.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1286-1319"
"Erik 5. Klipping","Erik 5. Klipping (1259-1286)","Erik 5. Klipping (1249-86), konge af Danmark 1259-86. Han blev kronet som 10-årig ved faderens, Christoffer 1.s, død i 1259, men stod de første år under formynderskab af sin moder, Dronning Margrete Sambiria. I 1282 måtte han som den første danske konge undertegne en håndfæstning, en skriftlig forpligtelse, der fastlagde magtforholdet mellem kongen og stormændene. Under aldrig opklarede omstændigheder blev han i november 1286 myrdet i Finderup Lade ved Viborg og gravsat i Viborg Domkirke. Betydningen af hans tilnavn er usikker, men menes at betyde ”klippet skind”.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1259-1286"
"Christoffer 1.","Christoffer 1. (1252-1259)","Christoffer 1. (ca. 1219-59), konge af Danmark 1252-59. Som yngste søn af Valdemar 2. Sejr havde Christoffer fået tildelt Lolland og Falster som len; men ved Kong Abels død kåredes han til dennes efterfølger. Hans regeringstid blev stærkt præget af de åbne stridigheder mellem stat og kirke, der kulminerede med kongens arrestation af ærkebiskop Jakob Erlandsen i 1259 – samme år, som Christoffer 1. døde og blev gravlagt i Ribe Domkirke.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1252-1259"
"Abel","Abel (1250-1252)","Abel (ca. 1218-52), konge af Danmark 1250-52. Som næstældste søn af Valdemar 2. Sejr blev Abel 1232 hertug af Sønderjylland. Efter mordet på broderen, Erik 4. Plovpenning, blev han kåret til dansk konge, støttet af den indflydelsesrige Hvide-slægt, efter ved ed at have afsvoret sig enhver forbindelse med broderens død. Han nåede imidlertid kun at regere i godt halvandet år. Under et felttog mod friserne i 1252 faldt han og gav dermed plads på tronen for sin yngre broder, Christoffer 1.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1250-1252"
"Erik 4. Plovpenning","Erik 4. Plovpenning (1241-1250)","Erik 4. Plovpenning (1216-50), konge af Danmark 1241-50. Som ældste søn af Valdemar 2. Sejr efterfulgte han denne på tronen. Hans regeringstid blev præget af stridigheder med broderen Abel, hertug af Sønderjylland. Uoverensstemmelserne udartede til en regulær krig, der tvang kongen til at udskrive en særlig plovskat, hvilket gav ham sit tilnavn. Under et af disse opgør blev Erik snigmyrdet af Abels mænd og hans lig kastet i Slien nær Slesvig by. Hans jordiske rester blev 1258 overført til St. Bendts Kirke i Ringsted.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1241-1250"
"Valdemar 2. Sejr","Valdemar 2. Sejr (1202-1241)","Valdemar 2. Sejr (1170-1241), konge af Danmark 1202-41. Da broderen Knud 4. døde i 1202, kåredes Valdemar til hans efterfølger. I hans regeringstid nåede Valdemarernes rige sin største udstrækning, kulminerende med erobringen af Estland i 1219, hvor Dannebrog ifølge legenden dalede ned fra himlen. Derefter gik det imidlertid ned ad bakke, og nederlaget ved Bornhøved i 1227 satte en stopper for den kortvarige stormagtsstatus. Jyske Lov blev nedskrevet i 1241 og stammer fra Valdemars regeringstid. Han er begravet ved sin faders side i St. Bendts Kirke i Ringsted.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1202-1241"
"Knud 4.","Knud 4. (1182-1202)","Knud 4. (1163-1202), konge af Danmark 1182-1202. Med støtte fra den mægtige sjællandske stormandsslægt, Hviderne, blev Knud allerede i faderens, Valdemar 1. den Stores levetid valgt til hans efterfølger. Han videreførte faderens konsolidering af kongemagten og gennemførte tillige en ekspansionspolitik i Nordtyskland, der gjorde Danmark til Nordeuropas stærkeste stat. Fra hans tid stammer titulaturen ”de venders konge”, der indtil 1972 indgik i den danske kongetitulatur. Også kendt som Knud 6.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1182-1202"
"Valdemar 1. den Store","Valdemar 1. den Store (1157-1182)","Valdemar 1. den Store (1131-82), konge af Danmark 1157-82. Efter borgerkrigen 1146-57 stod Valdemar tilbage som sejrherre, og som søn af Erik 1. Ejegods ægtefødte søn Knud Lavard kåredes han til Danmarks konge. Understøttet af den sjællandske stormandsslægt, Hviderne, hvis førende skikkelser var Absalon og broderen Esbern Snare, opbyggede han en stærk kongemagt. Rigsenheden styrkedes af de sejrrige kampe mod venderne, kulminerende med erobringen af Rügen i 1169. Ved sin død efterlod han en stærk kongemagt og et samlet rige. Han er begravet i St. Bendts Kirke i Ringsted.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1157-1182"
"Svend 3., Knud 3., Valdemar 1.","Svend 3., Knud 3., Valdemar 1. (1146-1157)","Svend 3. Grathe, Knud 3. og Valdemar 1. den Store. Efter Erik 3. Lams abdikation i 1146 valgte de østdanske stormænd Erik 2. Emunes søn, Svend 3. Grathe, (d. 1157) til konge, mens jyderne valgte Knud 3. (d. 1157), der var søn af Kong Niels’ søn Magnus, Knud Lavards banemand. Efter tysk mægling blev Svend enekonge, mens Knud (3.) og Knud Lavards søn, Valdemar (1.), fik betydelige len. Forliget var imidlertid skrøbeligt, og i 1154 tog både Knud og Valdemar kongenavn. Efter fornyet tysk pres opnåedes der i 1157 enighed om deling af riget, således at Svend fik Skåne, Knud Sjælland og Valdemar Jylland. Da parterne den 9. august 1157 mødtes i Roskilde for at bekræfte forliget, forsøgte Svend at dræbe de to andre, hvorfor mødet huskes som ”Blodgildet i Roskilde”. Derunder blev Knud dræbt, mens Valdemar undslap. Ved et efterfølgende slag på Grathe Hede faldt Svend, og Valdemar stod derefter som sejrherre tilbage som konge over hele Danmark.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1146-1157"
"Erik 3. Lam","Erik 3. Lam (1137-1146)","Erik 3. Lam (d. 27.8.1146), konge af Danmark 1137-46. Som søn af Erik 1. Ejegods datter Ragnhild (d. 1152) var han den nærmeste kandidat til tronen efter drabet på Erik 2. Emune. Kong Erik var – som hans tilnavn også indikerer – et fromt menneske. Han begunstigede de kirkelige institutioner, derunder især St. Knuds Kloster i Odense, hvortil han kort før sin død trak sig tilbage efter frivilligt at have givet afkald på tronen.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1137-1146"
"Erik 2. Emune","Erik 2. Emune (1134-1137)","Erik 2. Emune (d. 18.7.1137), konge af Danmark 1134-37, søn af Erik 1. Ejegod. Han stod på sin halvbroder, Knud Lavards side i opgøret med Kong Niels og dennes søn Magnus. I løbet af sin korte regeringstid grundlagde han Ringsted Kloster og søgte at få Knud Lavard kanoniseret. Kong Erik blev dræbt under et tingmøde den 18. juli 1137 og blev derefter stedt til hvile i Ribe Domkirke. Hans tilnavn betyder ”den altid huskede”.","","https://www.kongehuset.dk/media/adlbqacj/crown-fallback.png","1134-1137"
